e,country,city,line,start_year,end_year,rr,length,tunnel_per,tunnel,stations,source1,cost,currency,year,ppp_rate,real_cost,cost_km_millions,source2,reference
7795,CN,Beijing,Line 25 Phase 2 (Fangshan Northern Extension),2017,2020,0,5,NA,NA,4,Plan,4860,CNY,2015,0.2583,1255.49,251.1,Media,https://zh.wikisource.org/zh-hans/%E5%8C%97%E4%BA%AC%E5%B8%82%E5%9F%8E%E5%B8%82%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A%E7%AC%AC%E4%BA%8C%E6%9C%9F%E5%BB%BA%E8%AE%BE%E8%A7%84%E5%88%92%EF%BC%882015%EF%BD%9E2021%E5%B9%B4%EF%BC%89
7816,CN,Beijing,Line 7 Phase 2 (Eastern Extension),2016,2020,0,17.2,87.21%,15,9,Plan,15330,CNY,2016,0.2507,3843.07,223.43,Media,https://zh.wikisource.org/zh-hans/%E5%8C%97%E4%BA%AC%E5%B8%82%E5%9F%8E%E5%B8%82%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A%E7%AC%AC%E4%BA%8C%E6%9C%9F%E5%BB%BA%E8%AE%BE%E8%A7%84%E5%88%92%EF%BC%882015%EF%BD%9E2021%E5%B9%B4%EF%BC%89
7824,CN,Beijing,Line 27 Phase 2 (Changping Southern Extension),2019,2021,0,16.6,NA,NA,8,Plan,14230,CNY,2015,0.2583,3676.05,221.45,Media,https://zh.wikisource.org/zh-hans/%E5%8C%97%E4%BA%AC%E5%B8%82%E5%9F%8E%E5%B8%82%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A%E7%AC%AC%E4%BA%8C%E6%9C%9F%E5%BB%BA%E8%AE%BE%E8%A7%84%E5%88%92%EF%BC%882015%EF%BD%9E2021%E5%B9%B4%EF%BC%89
7832,CN,Beijing,Line 6 Phase 1 and 2,2008,2014,0,42.85,100.00%,42.85,27,Wiki,32250,CNY,2009,0.3174,10234.85,238.85,Media,https://zh.wikisource.org/zh-hans/%E5%9B%BD%E5%AE%B6%E5%8F%91%E5%B1%95%E6%94%B9%E9%9D%A9%E5%A7%94%E5%85%B3%E4%BA%8E%E5%8C%97%E4%BA%AC%E5%B8%82%E5%9C%B0%E9%93%816%E5%8F%B7%E7%BA%BF%E5%B7%A5%E7%A8%8B%E5%8F%AF%E8%A1%8C%E6%80%A7%E7%A0%94%E7%A9%B6%E6%8A%A5%E5%91%8A%E7%9A%84%E6%89%B9%E5%A4%8D
7864,CN,Beijing,Line 22,NA,NA,0,78.6,62.00%,48.5,20,Plan,63930,CNY,2019,0.2382,15228.68,193.75,Plan,http://www.tzxm.gov.cn/flfg/law/201912/t20191220_12825.html
7883,CN,Beijing,Line 13A,2019,2022,0,30.2,60.26%,18.2,18,Plan,23960,CNY,2019,0.2382,5707.48,188.99,Plan,http://www.tzxm.gov.cn/flfg/law/201912/t20191220_12825.html; https://baijiahao.baidu.com/s?id=1636643464335769195&wfr=spider&for=pc
7904,CN,Beijing,Line 7 Phase 1,2009,2014,0,23.7,100.00%,23.7,21,Plan,16000,CNY,2014,0.266,4256.45,179.6,Media,http://bj.bendibao.com/news/20141120/171344.shtm
7960,CN,Beijing,Line 10 North and East,2003,2008,0,24.64,100.00%,24.64,22,Media,13700,CNY,2005,0.3517,4818.85,195.57,Media,http://news.sciencenet.cn/sbhtmlnews/2008/8/209799.html
7985,CN,Beijing,Daxing Airport Express Phase 1,2016,2019,0,44,NA,NA,3,Plan,27820,CNY,2019,0.2382,6626.97,150.61,Plan,http://www.tzxm.gov.cn/flfg/law/201912/t20191220_12825.html
7986,CN,Beijing,Daxing Airport Express Phase 2,2019,NA,0,3.5,NA,NA,2,Plan,4040,CNY,2019,0.2382,962.36,274.96,Plan,http://www.tzxm.gov.cn/flfg/law/201912/t20191220_12825.html
7987,CN,Beijing,Line 8 Phase 1 for Olympics,2005,2008,0,4.528,100.00%,4.528,4,Media,2420,CNY,2005,0.3517,851.21,187.99,Media,https://www.360kuai.com/pc/9fb76b182add530db?cota=4&kuai_so=1&tj_url=so_rec&sign=360_7bc3b157; http://itdzs.org/OnLineMagazine/PDFView.aspx?ID=4
8041,CN,Beijing,Daxing Line,2007,2010,0,21.8,80.28%,17.5,11,Media,10930,CNY,2007,0.3323,3632.44,166.63,Media,http://www.mtr.bj.cn/article/5d510c0aebb1a36f5ef5981f.html
8065,CN,Beijing,Line 5,2002,2007,0,27.6,NA,NA,23,Media,12000,CNY,2004,0.3545,4253.81,154.12,Media,http://finance.sina.com.cn/b/20040419/0854725033.shtml
8112,CN,Beijing,Line 15 Phase 1,2009,2014,0,41.4,66.91%,27.7,18,Media,18100,CNY,2010,0.3004,5437.07,131.33,Media,http://finance.ifeng.com/city/bj/20101117/2902241.shtml
8129,CN,Beijing,Line 13B,2019,2022,0,32.2,31.99%,10.3,15,Plan,12640,CNY,2019,0.2382,3010.96,93.51,Plan,http://www.tzxm.gov.cn/flfg/law/201912/t20191220_12825.html
8131,CN,Beijing,Line 8 Northern Extension,2011,2013,0,6.328,73.45%,4.648,3,Measured,3212.2,CNY,2011,0.2838,911.52,144.05,Media,https://max.book118.com/html/2017/1209/143431974.shtm
